code	original_code	title	composer	track_number	is_duplicate
020511	0205	風神少女　 (Short Version)	ZUN	11	0
020512	0205	ポイズンボディ　～ Forsaken Doll	ZUN	12	0
020513	0205	今昔幻想郷　～ Flower Land	ZUN	13	0
020514	0205	彼岸帰航　～ Riverside View	ZUN	14	0
020515	0205	六十年目の東方裁判　～ Fate of Sixty Years	ZUN	15	0
020516	0205	花の映る塚	ZUN	16	0
020517	0205	此岸の塚	ZUN	17	0
020518	0205	花は幻想のままに	ZUN	18	0
020519	0205	魂の花　～ Another Dream...	ZUN	19	0
020601	0206	天狗の手帖　～ Mysterious Note	ZUN	1	0
020602	0206	風の循環　～ Wind Tour	ZUN	2	0
020603	0206	天狗が見ている　～ Black Eyes	ZUN	3	0
020604	0206	東の国の眠らない夜	ZUN	4	0
020605	0206	レトロスペクティブ京都	ZUN	5	0
020606	0206	風神少女	ZUN	6	0
020701	0207	封印されし神々	ZUN	1	0
020702	0207	人恋し神様　～ Romantic Fall	ZUN	2	0
020703	0207	稲田姫様に叱られるから	ZUN	3	0
020704	0207	厄神様の通り道　～ Dark Road	ZUN	4	0
020705	0207	運命のダークサイド	ZUN	5	0
020706	0207	神々が恋した幻想郷	ZUN	6	0
020707	0207	芥川龍之介の河童　～ Candid Friend	ZUN	7	0
020708	0207	フォールオブフォール　～ 秋めく滝	ZUN	8	0
020709	0207	妖怪の山　～ Mysterious Mountain	ZUN	9	0
020710	0207	少女が見た日本の原風景	ZUN	10	0
020711	0207	信仰は儚き人間の為に	ZUN	11	0
020712	0207	御柱の墓場　～ Grave of Being	ZUN	12	0
020713	0207	神さびた古戦場　～ Suwa Foughten Field	ZUN	13	0
020714	0207	明日ハレの日、ケの昨日	ZUN	14	0
020715	0207	ネイティブフェイス	ZUN	15	0
020716	0207	麓の神社	ZUN	16	0
020717	0207	神は恵みの雨を降らす　～ Sylphid Dream	ZUN	17	0
020718	0207	プレイヤーズスコア	ZUN	18	0
020801	0208	緋想天	あきやまうに	1	0
020802	0208	日常坐臥	あきやまうに	2	0
020803	0208	地の色は黄色	あきやまうに	3	0
020804	0208	甲論乙駁	あきやまうに	4	0
020805	0208	風光明媚	あきやまうに	5	0
020806	0208	香る樹葉花	あきやまうに	6	0
020807	0208	踊る水飛沫	あきやまうに	7	0
020808	0208	以魚駆蠅	あきやまうに	8	0
020809	0208	放縦不羈	あきやまうに	9	0
020810	0208	嘲りの遊戯	あきやまうに	10	0
020811	0208	冷吟閑酔	あきやまうに	11	0
020812	0208	雲外蒼天	あきやまうに	12	0
020813	0208	黒い海に紅く　～ Legendary Fish	ZUN	13	0
020814	0208	天衣無縫	あきやまうに	14	0
020815	0208	有頂天変　～ Wonderful Heaven	ZUN	15	0
020816	0208	幼心地の有頂天	ZUN	16	0
020817	0208	暮色蒼然	あきやまうに	17	0
020818	0208	東方緋想天	あきやまうに	18	0
020819	0208	東方妖恋談	ZUN/あきやまうに	19	1
020820	0208	星の器　～ Casket of Star	ZUN/あきやまうに	20	1
020821	0208	フラワリングナイト	ZUN/あきやまうに	21	1
020822	0208	ブクレシュティの人形師	ZUN/あきやまうに	22	1
020823	0208	広有射怪鳥事 ～ Till When？	ZUN/あきやまうに	23	1
020824	0208	ラクトガール　～ 少女密室	ZUN/あきやまうに	24	1
020825	0208	幽雅に咲かせ、墨染の桜　～ Border of Life	ZUN/あきやまうに	25	1
020826	0208	亡き王女の為のセプテット	ZUN/あきやまうに	26	1
020827	0208	夜が降りてくる	ZUN/あきやまうに	27	0
020828	0208	砕月	U2	28	1
020829	0208	狂気の瞳　～ Invisible Full Moon	ZUN/あきやまうに	29	1
020830	0208	風神少女	ZUN/あきやまうに	30	1
020831	0208	彼岸帰航　～ Riverside View	ZUN/あきやまうに	31	1
020901	0209	地霊達の起床	ZUN	1	0
020902	0209	暗闇の風穴	ZUN	2	0
020903	0209	封じられた妖怪　～ Lost Place	ZUN	3	0
020904	0209	渡る者の途絶えた橋	ZUN	4	0
020905	0209	緑眼のジェラシー	ZUN	5	0
020906	0209	旧地獄街道を行く	ZUN	6	0
020907	0209	華のさかづき大江山	ZUN	7	0
020908	0209	ハートフェルトファンシー	ZUN	8	0
020909	0209	少女さとり　～ 3rd eye	ZUN	9	0
020910	0209	廃獄ララバイ	ZUN	10	0
020911	0209	死体旅行　～ Be of good cheer!	ZUN	11	0
020912	0209	業火マントル	ZUN	12	0
020913	0209	霊知の太陽信仰　～ Nuclear Fusion	ZUN	13	0
020914	0209	ラストリモート	ZUN	14	0
020915	0209	ハルトマンの妖怪少女	ZUN	15	0
020916	0209	地霊達の帰宅	ZUN	16	0
020917	0209	エネルギー黎明　～ Future Dream...	ZUN	17	0
020918	0209	プレイヤーズスコア	ZUN	18	1
021001	0210	青空の影	ZUN	1	0
021002	0210	春の湊に	ZUN	2	0
021003	0210	小さな小さな賢将	ZUN	3	0
021004	0210	閉ざせし雲の通い路	ZUN	4	0
021005	0210	万年置き傘にご注意を	ZUN	5	0
021006	0210	スカイルーイン	ZUN	6	0
021007	0210	時代親父とハイカラ少女	ZUN	7	0
021008	0210	幽霊客船の時空を越えた旅	ZUN	8	0
021009	0210	キャプテン・ムラサ	ZUN	9	0
